People's Republic of China,1409517397,12237700479375,Shanghai,23390000
India,1339180127,2597491162897.67,Mumbai,12442373
United States of America,325145963,19390604000000,New York City,8537673
Indonesia,249865631,1015539017536.5,Jakarta,9769000
Brazil,208494900,2055505502224.73,São Paulo,12106920
Nigeria,182202000,375770713742.763,Lagos,21324000
Pakistan,182142594,304951818494.066,Lahore,10665000
Russian Empire,181537800,,Yelizavetpol,162788
Russian Empire,178378800,,Yelizavetpol,162788
Bangladesh,156594962,249723887765.42,Dhaka,8906039
Russia,146804372,1577524145963.17,Pskov,209840
Japan,127110047,4872136945507.59,Tokyo,13784212
Russian Empire,125640021,,Yelizavetpol,162788
Mexico,112336538,1149918794765.73,Ecatepec de Morelos,1677678
Philippines,100981437,313595208737.269,Quezon City,2936116
Ethiopia,96958732,80561496133.9172,Gondar,323900
Egypt,94798827,235369129337.711,Giza,3021542
Vietnam,94660000,223863996354.655,Hanoi,7785000
Nazi Germany,90000000,,Kętrzyn,27827
Germany,82521653,3677439129776.6,Berlin,3611222
Iran,77447168,439513511620.591,Tehran,8846782
Turkey,76223639,851102411118.116,Bursa,2901396
Rajasthan,68548437,,Pali,229956
Democratic Republic of the Congo,67513677,37241300948.659,Kinshasa,11855000
France,66628000,2582501307216.42,La Défense,150000
Thailand,65931550,455220920571.129,Bangkok,5696409
United Kingdom,65102385,2622433959604.16,London,8787892
Italy,60599936,1934797937411.33,Milan,1351562
South Africa,57725600,349419343614.089,Johannesburg,4434827
Myanmar,53259018,69322122755.8536,Yangon,5430000
Austria-Hungary,52800000,,Baden bei Wien,25229
South Korea,51069375,1530750923148.7,Seoul,9806538
Tanzania,49253126,52090320325.4736,Dar es Salaam,4715000
Colombia,47704427,309191382833.365,Medellín,2529403
Spain,46528024,1311320015515.99,Valencia,791413
Kenya,44353691,74938190654.8558,Mombasa,1200000
Argentina,43417000,637590419269.324,Buenos Aires,2890151
Sudan,40235000,117487857142.857,Khartoum,5345000
Algeria,38813722,170370810917.971,Djelfa,897920
Poland,38454576,524509565263.409,Warsaw,1764615
Uganda,37578876,25891058946.1936,Kampala,1659600
Canada,35702707,1653042795255.04,Toronto,2731571
Ottoman Empire,35350000,,Beit She'an,17332
Byzantine Empire,34000000,,Beit She'an,17332
Iraq,33417476,197715736040.609,Baghdad,6960000
Morocco,33008150,109139484007.429,Casablanca,4370000
Saudi Arabia,33000000,683827144288.536,Jeddah,3400000
Afghanistan,31822848,20815300220.0428,Kandahar,491500
Uzbekistan,31576400,48717685984.0278,Tashkent,2424100
Venezuela,30405207,482359318767.703,Barquisimeto,1995770
Peru,30375603,211389272242.157,Callao,994494
Malaysia,29716965,314500279043.81,George Town,708127
Nepal,29400000,24472013233.8472,Kathmandu,975453
Ghana,28308301,47330016342.5734,Accra,2291352
Holy Roman Empire,26265000,,Imperial City of Dinkelsbühl,8000
Yemen,26183676,18213328571.4286,Sana'a,2957000
Mozambique,25833752,12333859926.277,Maputo,1191613
North Korea,24895480,16282601357,Pyongyang,2863000
Taiwan,23508362,566757000000,Kaohsiung,2777384
Australia,23401892,1323421072479.07,Sydney,4840600
Madagascar,22924851,11499803806.5729,Antsirabe,244900
Syria,22845550,60200000000,Aleppo,1800000
Cameroon,22253959,34798596482.4274,Douala,2446945
Angola,21471618,124209385825.22,Luanda,7250000
Austrian Empire,21200000,,Baden bei Wien,25229
Ivory Coast,20316086,40388624117.1109,Abidjan,4980000
Sri Lanka,20277597,87174682200.4324,Colombo,752993
Romania,20147528,186690595270,Sibiu,397322
Kazakhstan,17948816,159406926359.122,Almaty,1806833
Niger,17831270,8119732792.52478,Niamey,1026848
Chile,17619708,277075944401.941,Antofagasta,380695
Netherlands,17000000,826200282501.127,Amsterdam,860124
Burkina Faso,16934839,12873114800.0165,"Babri, Burkina Faso",3991
Malawi,16362567,6303277590.80083,Blantyre,1895973
Ecuador,15737878,103056619000,Guayaquil,2698077
Guatemala,15468203,75620095537.5005,Guatemala City,2450212
Mali,15301650,15288163367.2602,Sikasso,213977
Cambodia,15135169,22158209502.6391,Phnom Penh,1501725
Zambia,14309466,25808666421.5558,Lusaka,2467467
Zimbabwe,14149648,17845821400,Harare,1606000
Senegal,14133280,16374743753.4731,Dakar,1146053
Chad,12825314,9981303726.23281,N'Djamena,1092066
South Sudan,12340000,2904114903.22912,Juba,372410
Rwanda,11776522,9136689514.09479,Rwamagana,47203
Guinea,11745189,10496056732.546,Conakry,1667864
Ottoman Empire,11692480,,Beit She'an,17332
Cuba,11265629,87132800000,Santiago de Cuba,444851
Belgium,11150516,492681283049.248,Antwerp,520504
Greece,10815197,200288277129.038,Athens,664046
Bolivia,10671200,37508642112.8799,Santa Cruz de la Sierra,1453549
Czech Republic,10610055,215725534372.371,Prague,1294513
Somalia,10495583,7368560694.66414,Mogadishu,2120000
Portugal,10457295,217571083045.99,Lisbon,506892
Dominican Republic,10403761,75931656814.657,Santo Domingo,2581827
Benin,10323474,9273558271.64744,Q21788742,31444
Haiti,10317461,8408150517.97684,Carrefour,511345
Burundi,10162532,3477502178.27657,Bujumbura,658859
Sweden,10161797,538040458216.997,Stockholm,935619
Jordan,9813095,40068308516.2755,Amman,4995000
Hungary,9778371,139135029758.29,Budapest,1749734
Belarus,9494200,54442374372.5094,Mogilyov,370712
Azerbaijan,9416801,40747792237.9735,Baku,2181800
United Arab Emirates,9346129,382575085091.899,Dubai,2502715
Israel,8891800,350850537827.281,Jerusalem,865721
Tajikistan,8610000,7145701018.7492,Dushanbe,780000
Austria,8572895,416595666396.636,Vienna,1840573
Switzerland,8211700,678887336848.252,Zürich,409241
Honduras,8097688,22978532896.7816,Comayaguela,1250000
Papua New Guinea,7321262,21088758484.7485,Port Moresby,364125
Bulgaria,7265115,56831518294.4397,Varna,366762
Ottoman Empire,7230660,,Beit She'an,17332
Serbia,7041599,41431648801.1663,Belgrade,1233796
Togo,6816982,4812554346.14923,Sokodé,113000
Paraguay,6802295,29734895248.9053,Asunción,524190
Laos,6769727,16853079615.3519,Vientiane,760000
El Salvador,6340454,24805439600,San Salvador,567698
Eritrea,6333135,2607739837.39837,Asmara,649000
Libya,6201521,50984362478.4973,Tripoli,1126000
Sierra Leone,6092075,3774270392.41231,Freetown,951000
Nicaragua,6080478,13814261535.5434,Managua,1028808
Kyrgyzstan,6000000,7564738836.04122,Osh,251000
Singapore,5888926,323907234412.34,Singapore,5888926
Denmark,5707251,324871968807.469,Aarhus,269022
Finland,5501043,251884887972.766,Helsinki,642045
Slovakia,5426252,95769031980.1362,Bratislava,425923
Norway,5258317,398831956477.937,Oslo,634463
Turkmenistan,5125693,42355428571.4286,Ashgabat,1031992
Costa Rica,4872166,57057372468.0383,San José,288054
New Zealand,4793700,205852838254.712,Auckland,1454300
Ireland,4761865,333730764773.18,Cork,125622
Kuwait,4660000,120126277612.925,Kuwait City,637411
Central African Republic,4616417,1949411659.20453,Bangui,734350
State of Palestine,4550368,14498100000,Gaza City,515556
Palestinian territories,4550000,,Qabatiya,19197
Somaliland,4500000,,Hargeisa,1900000
Lebanon,4467390,51844487742.0232,Tyre,135204
Republic of the Congo,4447632,8722553000.83526,Brazzaville,1827000
Liberia,4294077,2158000000,Monrovia,1021762
Croatia,4284889,54849180228.8716,Zagreb,790017
Saxony,4055274,113000000000,Tharandt,5380
Mauritania,3889880,5024705934.33687,Nouakchott,1077169
Panama,3864170,61838175800,Panama City,880691
Georgia,3729500,15159281211.3967,Tbilisi,1118035
Oman,3632444,72642652795.8387,Nizwa,70000
Puerto Rico,3615086,,San Juan,355074
Bosnia and Herzegovina,3531159,18168579578.1952,Banja Luka,199191
Uruguay,3407062,56156972157.6958,Barros Blancos,31650
Kingdom of Bavaria,3231570,,Amberg,41592
Mongolia,3081678,11488046881.0431,Darkhan,74300
Albania,3020209,13039352743.9616,Tirana,610050
Armenia,2976566,11536590635.8268,Gyumri,121976
Jamaica,2950210,14768134912.4171,Kingston,580000
Lithuania,2810118,47168303744.1329,Kaunas,288466
Moldova,2550900,8128493432.07741,Chișinău,685900
Brandenburg state,2449193,,Königs Wusterhausen,34795
Namibia,2303315,13244597345.4319,Walvis Bay,85000
Republic of Macedonia,2107158,11337827331.6809,Skopje,506926
Lesotho,2074465,2639386291.42767,Maseru,330790
Slovenia,2066880,48769655479.2388,Ljubljana,280310
Botswana,2021144,17406530780.7155,Molepolole,67598
Gaza Strip,2000000,,Rafah,164000
Latvia,1953000,30264454641.8004,Riga,698529
Kosovo,1883018,7128690556.68244,Pristina,207477
Northern Ireland,1852168,,Derry,85016
Gambia,1849285,1014621519.85866,Serekunda,348118
Guinea-Bissau,1704255,1346933490.23577,Bissau,395954
Gabon,1671711,14622880885.6842,Libreville,797003
Trinidad and Tobago,1341151,22104775828.46,Chaguanas,83489
Bahrain,1332171,35307127659.5745,Manama,157474
Estonia,1323824,25921079612.3337,Tallinn,430805
Mauritius,1258653,13338147523.0124,Port Louis,149194
Eswatini,1249514,4408564260.16111,Manzini,110508
East Timor,1180069,2954620999.58441,Dili,222323
Cyprus,1141166,21651791751.1832,Nicosia,330000
Fiji,881065,5061202767.42948,Suva,88271
Djibouti,872932,1844674434.50371,Djibouti,562000
Guyana,799613,3675631961.25908,Georgetown,235017
Equatorial Guinea,757014,12486753871.278,Bata,230282
Bhutan,753947,2511852941.17647,Thimphu,104000
Comoros,734917,648920942.738052,Moroni,111329
Montenegro,620029,4774086094.2078,Podgorica,187085
Solomon Islands,561231,1303453616.11974,Honiara,64609
Western Sahara,553000,,Laayoune,217732
Suriname,539276,3324385325.26677,Paramaribo,240000
Transnistria,505153,1052200000,Bender,91882
Cape Verde,498897,1753736711.67273,Mindelo,71952
Malta,423374,12537750732.4769,Birkirkara,22247
Brunei,417784,12128089001.5858,Bandar Seri Begawan,50000
Bahamas,377374,12162100000,Nassau,274400
Belize,366954,1838000000,Belize City,57169
Iceland,348580,23909289978.5861,Hafnarfjörður,28703
Maldives,345023,4597083303.50693,Malé,103693
Turkish Republic of Northern Cyprus,313626,,North Nicosia,61378
Barbados,284644,4796845980.8226,Bridgetown,110000
Vanuatu,252763,862879789.390161,Port Vila,51437
The Republic of Abkhazia,242000,,Sukhumi,64441
São Tomé and Príncipe,192993,390871568.630082,São Tomé,56166
Samoa,190372,856626506.024096,Apia,37708
Saint Lucia,182273,1712306555.55556,Castries,70000
Curaçao,160337,,Willemstad,140100
Artsakh,146600,,Stepanakert,49848
Grenada,105897,1118816679.40741,St. George's,4315
Tonga,105323,426057453.064917,Nuku'alofa,24571
Aruba,102911,,Oranjestad,34980
Kiribati,102351,196150061.312078,South Tarawa,50182
Seychelles,92000,1485994387.49716,Victoria,26450
Andorra,79218,3012914131.16971,Santa Coloma d'Andorra,3002
Greenland,76186,,Paamiut,1817
Dominica,72003,562540740.740741,Roseau,16582
Bermuda,65024,,Hamilton,3686
Cayman Islands,58435,,George Town,27704
Greenland,56295,,Nuuk,17316
Saint Kitts and Nevis,54191,945854481.481481,Basseterre,13220
San Marino,31595,1658778453.9103,San Marino,4128
Republic of Ragusa,30000,,Republic of Ragusa,30000
Palau,20918,291544300,Koror,8744
Tuvalu,9876,39731317.3044487,Funafuti,6025
